carat,cut,color,clarity,depth,table,price,x,y,z
0.39,Very Good,G,SI2,62.7,54.0,581,4.64,4.71,2.93
1.52,Very Good,F,VS1,63.8,56.0,15819,7.25,7.3,4.64
0.53,Ideal,G,VS2,60.9,56.0,1807,5.25,5.21,3.18
0.3,Premium,E,VS2,62.3,58.0,844,4.32,4.28,2.68
0.41,Ideal,F,VS2,61.1,56.0,1107,4.83,4.8,2.94
0.41,Ideal,D,SI1,60.8,57.0,791,4.8,4.84,2.93
1.73,Good,E,SI1,64.2,58.0,14479,7.54,7.5,4.83
2.01,Very Good,I,VS1,62.8,59.0,17877,8.02,8.07,5.05
0.42,Ideal,G,VVS2,60.7,55.0,1031,4.86,4.89,2.96
0.9,Very Good,D,SI1,62.3,53.0,5123,6.2,6.22,3.87
1.31,Premium,G,VS2,60.3,59.0,8818,7.08,7.12,4.28
0.7,Very Good,G,SI2,59.0,62.0,2872,5.79,5.81,3.42
0.57,Ideal,E,VS1,60.5,57.0,1884,5.33,5.38,3.24
0.93,Ideal,G,SI1,60.9,57.0,3521,6.29,6.25,3.82
0.9,Very Good,D,VS1,63.0,56.0,5757,6.13,6.18,3.88
0.53,Ideal,E,SI1,62.0,56.0,1607,5.19,5.17,3.21
0.57,Premium,E,VS2,62.9,57.0,1672,5.29,5.24,3.31
0.34,Premium,G,VS2,61.2,58.0,596,4.46,4.5,2.74
1.24,Very Good,I,SI1,60.0,59.0,5584,6.98,7.01,4.2
1.0,Premium,F,VS2,61.9,59.0,6521,6.36,6.41,3.95
0.43,Ideal,J,VS1,61.7,58.0,703,4.8,4.84,2.98
0.9,Good,D,SI1,61.9,64.0,3567,6.0,6.09,3.74
0.7,Ideal,G,SI1,60.7,55.0,2744,5.76,5.8,3.51
1.01,Premium,G,VS1,59.8,59.0,6529,6.55,6.5,3.9
0.37,Very Good,F,SI2,60.2,60.0,487,4.6,4.7,2.8
0.52,Ideal,E,VS2,61.3,55.0,1644,5.19,5.22,3.19
0.41,Premium,F,VS2,61.3,58.0,863,4.79,4.84,2.95
0.8,Premium,G,SI2,59.7,62.0,2484,6.02,5.98,3.58
1.71,Ideal,H,SI1,61.8,57.0,13477,7.74,7.69,4.76
0.71,Very Good,E,VVS2,60.3,52.0,3760,5.8,5.87,3.52
0.3,Ideal,D,VS2,62.0,56.0,911,4.35,4.33,2.69
1.28,Very Good,J,SI1,63.4,59.0,4967,6.89,6.84,4.35
0.7,Premium,F,SI1,62.3,58.0,2196,5.67,5.72,3.55
0.59,Very Good,E,VS2,59.4,63.0,2145,5.42,5.46,3.23
1.02,Premium,J,SI1,61.2,57.0,3496,6.58,6.43,3.98
0.77,Ideal,E,SI1,61.6,57.0,3189,5.87,5.91,3.63
1.04,Very Good,E,IF,63.6,58.0,11269,6.41,6.43,4.08
1.0,Very Good,F,VS2,62.5,58.0,6283,6.32,6.36,3.96
0.9,Good,H,SI1,59.0,62.0,3577,6.23,6.27,3.69
0.71,Fair,I,VS1,64.5,56.0,2104,5.61,5.56,3.6
0.5,Premium,H,SI1,58.7,59.0,1091,5.15,5.11,3.01
2.15,Ideal,H,SI2,61.8,57.0,17063,8.24,8.3,5.11
0.33,Ideal,F,IF,60.8,55.0,1240,4.49,4.53,2.74
1.32,Premium,F,SI2,60.6,60.0,6541,7.05,7.1,4.29
1.11,Good,D,SI1,57.8,61.0,6088,6.83,6.78,3.93
1.51,Good,I,VS2,63.8,57.0,7577,7.24,7.18,4.6
0.7,Ideal,G,SI2,62.6,55.0,2232,5.66,5.69,3.55
0.41,Good,D,SI1,63.4,56.0,707,4.73,4.76,3.01
0.9,Good,H,VS1,60.6,61.0,4072,6.13,6.19,3.73
0.52,Ideal,G,VS1,60.9,55.0,1689,5.16,5.22,3.16
0.55,Premium,H,VS2,60.2,59.0,1387,5.36,5.24,3.19
0.69,Premium,F,SI1,61.2,58.0,1946,5.73,5.7,3.5
0.65,Good,E,VS2,57.8,61.2,2406,5.72,5.78,3.32
0.61,Ideal,D,SI1,62.0,55.0,1927,5.44,5.47,3.38
0.73,Premium,F,VS1,60.7,61.0,3211,5.79,5.75,3.5
1.05,Premium,H,SI1,61.9,58.0,4692,6.5,6.45,4.01
0.7,Ideal,D,VS1,62.8,54.0,3529,5.65,5.69,3.56
0.35,Good,F,VS2,57.9,60.0,596,4.65,4.68,2.7
0.91,Good,G,SI2,63.2,61.0,3340,6.01,6.27,3.88
0.3,Ideal,D,SI1,61.4,55.0,552,4.29,4.34,2.65
1.16,Ideal,G,VS2,62.3,57.0,7203,6.72,6.66,4.17
0.31,Ideal,E,SI1,61.5,55.0,660,4.37,4.41,2.7
1.71,Very Good,F,VS1,61.9,61.0,17685,7.61,7.67,4.73
0.71,Premium,F,VS2,58.0,62.0,2803,5.85,5.81,3.38
0.9,Good,E,VS1,59.3,56.0,5356,6.27,6.32,3.73
0.32,Very Good,G,VS2,58.4,57.0,524,4.51,4.53,2.64
0.7,Ideal,E,SI2,60.5,56.0,2375,5.8,5.77,3.5
1.51,Very Good,I,SI1,62.6,60.0,8637,7.27,7.34,4.57
0.5,Very Good,E,SI2,60.6,59.0,1104,5.07,5.12,3.09
1.58,Ideal,I,SI1,61.7,56.0,11110,7.47,7.5,4.62
2.0,Premium,H,SI1,62.6,56.0,17760,8.01,7.96,5.0
1.4,Premium,G,SI1,62.5,58.0,8511,7.12,7.06,4.43
0.31,Very Good,G,IF,61.6,55.0,924,4.38,4.42,2.71
1.01,Ideal,G,SI1,61.8,55.0,5141,6.46,6.43,3.98
0.56,Ideal,E,VS1,61.8,55.0,2117,5.33,5.28,3.28
0.81,Ideal,I,SI1,62.5,57.0,2439,5.98,5.92,3.72
0.32,Ideal,E,VS2,62.1,54.0,900,4.42,4.4,2.74
1.11,Very Good,J,VS2,61.8,56.0,4283,6.59,6.64,4.09
1.02,Very Good,E,SI2,60.5,58.0,4398,6.54,6.58,3.97
0.51,Ideal,E,VVS1,61.1,54.7,2691,5.16,5.2,3.17
0.48,Premium,F,VS2,60.1,59.0,1294,5.12,5.1,3.07
0.9,Very Good,E,SI1,63.1,58.0,4151,6.12,6.02,3.83
0.44,Ideal,E,VVS2,60.9,57.0,1274,4.9,4.95,3.0
0.37,Ideal,F,VS1,61.1,56.0,846,4.64,4.65,2.84
0.54,Ideal,G,SI1,59.6,59.0,1574,5.34,5.3,3.17
1.23,Ideal,H,VS2,59.0,57.0,6406,7.05,6.99,4.14
1.09,Ideal,J,VS2,62.0,54.0,4361,6.64,6.61,4.11
0.91,Ideal,F,SI1,62.0,55.0,5176,6.21,6.24,3.86
0.35,Very Good,E,VS1,59.7,59.0,790,4.59,4.62,2.75
0.81,Very Good,I,VS1,62.7,58.0,2950,5.9,5.96,3.72
0.34,Ideal,I,VS1,62.6,56.0,537,4.44,4.47,2.79
2.02,Very Good,I,VS2,63.2,53.0,16179,8.09,8.18,5.14
1.12,Very Good,I,SI2,61.2,59.0,4533,6.69,6.74,4.11
1.01,Ideal,D,SI2,62.0,57.0,4242,6.42,6.38,3.97
1.51,Very Good,J,VS1,63.5,60.0,7991,7.29,7.23,4.61
0.71,Ideal,F,VS1,61.8,55.0,3710,5.71,5.73,3.54
1.57,Very Good,I,VS1,62.7,58.0,10682,7.41,7.43,4.65
0.7,Good,F,SI2,64.1,59.0,2411,5.58,5.53,3.56
0.93,Ideal,I,SI1,61.9,57.0,3359,6.23,6.21,3.85
0.9,Ideal,F,SI1,62.4,56.0,3992,6.22,6.18,3.87
0.74,Ideal,H,SI1,62.1,56.0,2870,5.77,5.83,3.6
0.7,Very Good,H,SI2,63.8,55.0,1890,5.57,5.59,3.56
0.53,Premium,H,VS1,60.5,57.0,1607,5.34,5.27,3.21
1.56,Premium,G,VS1,60.9,58.0,14139,7.49,7.53,4.57
1.02,Premium,F,SI2,62.7,59.0,4151,6.38,6.45,4.02
0.4,Ideal,H,SI1,62.0,56.0,855,4.74,4.68,2.92
0.3,Very Good,H,VS2,61.1,61.0,473,4.31,4.33,2.64
1.14,Premium,H,SI1,62.1,59.0,4463,6.73,6.61,4.14
0.27,Premium,E,VS1,61.5,58.0,603,4.22,4.17,2.58
1.21,Premium,E,VVS2,61.9,58.0,11395,6.84,6.79,4.22
2.07,Premium,I,VS2,61.2,58.0,18193,8.18,8.2,5.01
1.06,Very Good,E,SI2,61.7,62.0,4570,6.5,6.54,4.02
0.35,Premium,I,VS1,61.8,58.0,552,4.5,4.53,2.79
2.07,Premium,I,VS2,61.2,58.0,18359,8.2,8.18,5.01
0.5,Ideal,G,VVS2,62.8,57.0,1935,5.04,4.99,3.15
0.5,Very Good,H,VS2,61.8,63.0,1074,5.05,5.08,3.13
2.02,Premium,G,SI1,62.3,61.0,16323,8.07,7.96,4.99
0.38,Premium,F,VS2,60.5,59.0,1026,4.72,4.67,2.84
0.35,Ideal,D,SI1,62.3,55.0,644,4.52,4.56,2.83
1.01,Very Good,F,SI1,59.7,61.0,4899,6.49,6.55,3.89
0.28,Very Good,D,VVS1,60.3,62.0,596,4.22,4.24,2.55
1.51,Fair,I,SI1,68.3,57.0,8355,6.95,6.87,4.72
0.43,Ideal,H,VVS2,61.3,56.0,943,4.86,4.9,2.99
0.76,Premium,G,SI2,62.8,60.0,2364,5.81,5.79,3.64
1.51,Very Good,E,SI2,61.9,57.0,7848,7.35,7.41,4.57
1.5,Ideal,I,I1,61.3,57.0,5695,7.39,7.36,4.52
1.0,Good,I,VS1,59.6,61.0,4624,6.48,6.53,3.88
1.0,Ideal,G,VS1,62.5,54.0,7223,6.41,6.45,4.02
0.52,Very Good,G,SI2,63.0,55.0,1049,5.12,5.14,3.23
1.21,Fair,G,SI1,64.5,56.0,4637,6.69,6.62,4.29
0.32,Ideal,D,SI1,60.8,57.0,756,4.44,4.41,2.69
0.42,Ideal,F,VS1,61.6,56.0,1082,4.82,4.8,2.96
0.41,Ideal,F,VS1,62.1,56.0,1076,4.76,4.74,2.95
1.56,Premium,G,VS1,60.9,58.0,14268,7.53,7.49,4.57
1.55,Premium,J,VS1,62.6,59.0,8749,7.4,7.35,4.62
2.01,Premium,G,SI2,60.8,61.0,12260,8.14,8.07,4.93
0.54,Premium,G,SI2,61.4,59.0,1195,5.24,5.21,3.21
0.4,Very Good,G,SI1,62.6,55.3,795,4.69,4.71,2.93
0.35,Good,D,SI2,63.3,55.0,522,4.45,4.49,2.83
2.0,Good,E,SI2,57.3,65.0,13320,8.26,8.22,4.72
0.57,Good,G,SI1,63.3,55.0,1364,5.29,5.32,3.36
1.5,Premium,H,I1,60.1,57.0,3457,7.4,7.28,4.42
0.5,Very Good,F,SI1,63.2,58.0,1106,5.08,5.04,3.2
0.7,Premium,F,SI2,61.9,62.0,2107,5.69,5.66,3.51
0.81,Very Good,F,SI1,63.1,59.0,2809,5.85,5.79,3.67
0.44,Very Good,E,SI1,62.9,58.0,810,4.85,4.88,3.06
0.31,Premium,E,SI1,62.7,58.0,471,4.32,4.35,2.72
0.34,Ideal,G,VVS2,62.1,55.0,775,4.44,4.48,2.77
2.01,Good,G,SI1,63.9,60.0,17804,7.81,7.75,4.97
1.01,Premium,I,SI1,62.7,58.0,3337,6.4,6.33,3.99
0.42,Ideal,J,VS2,62.0,55.0,628,4.81,4.87,3.0
1.0,Fair,E,SI2,67.0,53.0,3136,6.19,6.13,4.13
0.5,Very Good,F,SI1,63.2,57.0,1220,5.03,5.06,3.19
1.03,Premium,G,SI1,58.2,59.0,4900,6.7,6.64,3.88
1.1,Ideal,G,SI1,61.6,56.0,6837,6.62,6.65,4.08
0.58,Ideal,F,VS1,61.9,54.0,1865,5.37,5.33,3.31
1.0,Good,F,VS2,62.1,61.0,6030,6.31,6.38,3.94
1.51,Very Good,I,SI1,62.7,61.0,8637,7.27,7.33,4.58
1.05,Premium,G,I1,61.7,59.0,2378,6.58,6.47,4.02
0.24,Ideal,F,VVS2,61.4,59.0,540,4.0,4.05,2.47
0.92,Premium,H,SI1,62.2,58.0,3675,6.19,6.23,3.86
1.5,Very Good,D,SI1,60.7,62.0,11442,7.3,7.33,4.44
1.5,Very Good,H,VS2,60.7,61.0,11025,7.34,7.41,4.48
0.54,Ideal,E,VS2,61.8,55.0,1847,5.26,5.24,3.24
2.11,Premium,E,SI2,62.4,61.0,18034,8.19,8.1,5.08
0.74,Ideal,E,VS1,62.1,53.0,3804,5.82,5.8,3.61
0.91,Very Good,E,SI1,60.5,61.0,4211,6.19,6.23,3.76
0.9,Premium,G,SI1,61.0,59.0,3931,6.29,6.17,3.8
1.17,Premium,F,SI2,59.9,59.0,4167,6.86,6.82,4.1
0.84,Good,E,SI1,61.9,61.0,3577,6.03,6.05,3.74
0.42,Good,E,SI1,63.6,61.0,945,4.73,4.7,3.0
1.54,Ideal,G,VS1,62.0,57.0,14650,7.4,7.45,4.6
0.31,Premium,F,VVS1,62.4,60.0,959,4.31,4.28,2.68
0.34,Very Good,I,SI1,61.7,56.0,459,4.51,4.54,2.79
0.3,Premium,F,VS2,62.2,58.0,776,4.31,4.28,2.67
0.5,Premium,D,SI1,62.3,58.0,1610,5.08,5.07,3.16
1.27,Premium,H,SI2,59.3,61.0,2845,7.12,7.05,4.2
0.34,Ideal,G,VVS2,61.9,57.0,995,4.48,4.44,2.76
0.34,Ideal,E,IF,62.0,56.0,1243,4.5,4.47,2.78
0.71,Ideal,G,VS2,60.6,56.0,2911,5.76,5.8,3.5
1.01,Premium,E,SI1,61.6,59.0,4299,6.44,6.42,3.96
1.32,Ideal,D,VVS2,59.3,59.0,15802,7.16,7.23,4.27
0.29,Very Good,F,VVS2,60.2,58.0,664,4.29,4.35,2.6
1.06,Very Good,G,VS2,60.1,58.0,6212,6.64,6.67,4.0
2.0,Good,I,VS1,58.8,65.0,15708,8.03,8.1,4.74
1.28,Premium,H,SI2,62.0,57.0,6164,7.0,6.94,4.32
1.0,Very Good,H,VS2,61.3,63.0,5854,6.38,6.4,3.92
0.36,Ideal,F,IF,61.4,56.0,1063,4.57,4.61,2.82
0.36,Ideal,D,SI1,61.5,56.0,851,4.64,4.56,2.83
1.05,Premium,G,SI2,60.1,60.0,3828,6.58,6.66,3.98
0.57,Ideal,F,VS1,61.9,56.0,1949,5.3,5.39,3.31
0.3,Ideal,H,VVS1,61.4,56.0,665,4.32,4.35,2.66
0.51,Ideal,D,VS2,60.9,56.0,1882,5.19,5.16,3.15
0.37,Very Good,F,VS2,59.7,62.0,696,4.68,4.7,2.8
1.12,Ideal,G,SI2,61.5,57.0,5018,6.74,6.68,4.13
0.3,Premium,G,VS1,61.9,59.0,605,4.28,4.32,2.66
0.7,Premium,F,VS2,62.0,56.0,2573,5.72,5.67,3.53
1.27,Ideal,J,VS2,62.9,54.0,5925,6.87,6.9,4.33
0.33,Premium,E,VS2,62.0,59.0,928,4.41,4.39,2.73
1.24,Premium,D,SI2,60.6,59.0,4916,6.99,6.96,4.23
0.34,Premium,F,VS1,61.5,55.0,1020,4.58,4.49,2.79
0.31,Ideal,G,SI1,61.9,55.0,493,4.38,4.41,2.72
1.05,Premium,E,SI2,61.5,59.0,4139,6.52,6.58,4.03
0.38,Very Good,G,VVS1,59.9,56.0,970,4.73,4.75,2.84
0.32,Ideal,H,SI1,61.5,55.0,434,4.41,4.43,2.72
0.71,Ideal,G,VS2,61.8,56.0,3299,5.68,5.72,3.52
1.53,Ideal,E,SI1,61.2,58.0,13324,7.39,7.44,4.54
0.5,Very Good,E,SI2,63.0,57.0,1098,5.01,5.05,3.17
1.51,Ideal,I,SI1,61.2,58.0,8752,7.35,7.4,4.51
0.33,Ideal,I,VS2,61.5,57.0,594,4.49,4.42,2.74
0.73,Ideal,F,VS2,62.6,56.0,2762,5.77,5.74,3.6
0.3,Ideal,J,VS1,59.7,57.0,394,4.37,4.4,2.62
0.4,Ideal,D,SI1,62.5,55.0,741,4.71,4.73,2.95
0.57,Very Good,I,VS2,62.2,55.0,1267,5.33,5.34,3.32
1.0,Good,I,SI2,63.9,60.0,3528,6.3,6.26,4.01
0.34,Ideal,D,VS2,62.5,57.0,805,4.4,4.47,2.77
0.3,Very Good,I,IF,63.3,56.0,810,4.26,4.21,2.68
1.09,Very Good,F,SI2,58.6,63.0,4629,6.73,6.78,3.96
0.31,Ideal,G,VS2,61.4,56.0,574,4.34,4.37,2.67
0.34,Good,E,SI1,63.5,55.0,556,4.44,4.47,2.83
0.35,Ideal,E,VS2,61.5,55.0,767,4.52,4.56,2.79
0.52,Ideal,D,VS2,61.9,57.0,1919,5.17,5.14,3.19
0.72,Good,I,VS1,61.3,63.0,2451,5.67,5.75,3.5
0.33,Ideal,F,VS2,62.6,55.0,854,4.42,4.4,2.76
0.41,Premium,E,VS1,60.0,58.0,1153,4.83,4.8,2.89
0.7,Very Good,E,SI1,61.2,57.0,2753,5.68,5.73,3.49
0.31,Good,H,VS1,64.1,55.0,476,4.25,4.27,2.73
0.52,Ideal,E,VS1,61.3,56.0,1886,5.18,5.22,3.19
1.17,Ideal,G,VVS2,61.2,56.0,9289,6.77,6.85,4.17
0.71,Ideal,F,VS1,61.4,56.0,3710,5.75,5.78,3.54
0.3,Ideal,E,VS2,62.4,57.0,844,4.33,4.29,2.69
1.21,Good,G,VS1,63.7,57.0,6025,6.73,6.67,4.27
0.51,Ideal,F,VVS2,61.2,56.0,2203,5.19,5.17,3.17
0.3,Ideal,F,VS1,61.5,55.0,587,4.33,4.35,2.67
1.2,Premium,G,VS1,62.4,58.0,8602,6.82,6.8,4.25
0.39,Very Good,D,VVS2,62.9,58.0,1232,4.62,4.66,2.92
1.01,Ideal,J,SI1,62.8,57.0,3926,6.4,6.44,4.03
0.4,Very Good,E,SI1,63.5,55.0,882,4.71,4.67,2.98
0.74,Ideal,F,SI1,61.0,57.0,2851,5.85,5.81,3.56
0.32,Ideal,H,IF,61.6,56.0,796,4.4,4.43,2.72
0.7,Very Good,E,VS1,63.4,60.0,3068,5.63,5.66,3.58
1.0,Good,H,SI2,63.7,58.0,3472,6.28,6.15,3.96
0.31,Ideal,F,VS2,60.8,57.0,625,4.36,4.39,2.66
0.9,Very Good,F,SI1,63.3,55.0,4545,6.18,6.12,3.89
0.3,Premium,D,VS2,61.0,58.0,710,4.32,4.34,2.64
0.31,Ideal,H,IF,60.0,57.0,816,4.39,4.41,2.64
0.38,Premium,D,VS1,58.2,58.0,1064,4.81,4.77,2.79
0.52,Very Good,G,VS1,63.3,55.0,1815,5.12,5.09,3.23
1.01,Good,D,SI2,63.8,61.0,3671,6.13,6.06,3.89
1.14,Ideal,G,VVS2,61.0,56.0,9013,6.74,6.76,4.12
1.51,Very Good,I,SI1,62.2,60.0,8637,7.23,7.3,4.52
0.4,Premium,E,SI1,61.3,59.0,737,4.69,4.74,2.89
0.91,Very Good,D,SI1,60.2,60.0,4466,6.22,6.27,3.76
0.47,Fair,I,VS2,57.1,61.0,919,5.11,5.15,2.93
1.51,Good,F,VVS2,63.7,58.0,14654,7.18,7.24,4.59
0.56,Ideal,G,VS1,60.6,56.0,1819,5.33,5.36,3.24
0.97,Good,J,VS2,60.0,56.0,3717,6.4,6.46,3.86
0.33,Ideal,H,VVS1,61.7,56.0,965,4.48,4.46,2.76
0.5,Fair,E,VS2,64.9,56.0,1397,5.01,4.95,3.23
0.42,Ideal,D,VS1,61.4,56.0,1350,4.86,4.82,2.97
0.3,Premium,H,VVS1,61.3,61.0,878,4.29,4.26,2.62
1.02,Very Good,G,VS1,62.0,59.0,6126,6.39,6.45,3.98
0.32,Premium,G,VS2,60.1,61.0,672,4.44,4.41,2.66
1.15,Very Good,G,VS2,62.9,58.0,6831,6.62,6.7,4.19
0.5,Very Good,E,VS1,59.0,60.0,1806,5.19,5.22,3.07
1.09,Very Good,G,IF,62.9,57.0,8650,6.52,6.58,4.12
1.0,Very Good,E,SI1,61.2,60.0,5351,6.39,6.42,3.92
0.3,Premium,I,VS1,61.7,58.0,473,4.27,4.32,2.65
1.26,Ideal,H,VS1,61.4,56.0,7691,7.01,6.97,4.29
0.28,Ideal,G,VS2,62.2,54.0,497,4.21,4.24,2.63
1.01,Ideal,G,VS2,63.0,57.0,6027,6.42,6.35,4.02
0.3,Ideal,E,VVS1,61.3,57.0,1071,4.32,4.36,2.66
1.0,Premium,F,SI1,60.7,60.0,5197,6.36,6.4,3.87
0.72,Premium,F,SI1,59.9,58.0,2742,5.85,5.81,3.49
0.53,Ideal,F,VS2,61.5,55.0,1631,5.2,5.27,3.22
1.22,Premium,J,SI2,62.2,60.0,4132,6.89,6.77,4.25
1.01,Ideal,H,SI2,62.0,57.0,4825,6.4,6.43,3.98
0.42,Premium,H,SI1,59.5,57.0,898,5.11,4.78,2.94
0.7,Very Good,G,SI1,61.7,57.0,2010,5.65,5.8,3.53
0.59,Premium,D,SI1,62.8,57.0,1835,5.38,5.32,3.36
1.01,Good,D,SI2,64.0,56.0,4234,6.25,6.29,4.01
1.01,Premium,E,VS1,62.9,60.0,7839,6.36,6.32,3.99
1.37,Ideal,J,SI1,62.1,55.0,6339,7.13,7.16,4.44
1.53,Very Good,H,SI2,61.4,60.0,7991,7.36,7.43,4.54
0.4,Very Good,F,VS2,63.6,56.0,867,4.66,4.68,2.97
1.52,Fair,H,I1,64.9,58.0,3504,7.18,7.13,4.65
1.6,Very Good,I,VS1,58.6,58.0,10824,7.66,7.72,4.51
0.9,Very Good,D,SI1,62.4,63.0,3812,6.13,6.04,3.8
0.36,Premium,H,VS1,60.8,59.0,810,4.62,4.59,2.8
0.51,Premium,F,VS1,61.7,58.0,1971,5.11,5.07,3.14
0.42,Ideal,D,SI1,61.9,56.0,1040,4.84,4.82,2.99
1.04,Premium,E,SI2,60.1,58.0,3392,6.65,6.56,3.97
0.8,Ideal,E,VS2,62.2,57.0,3648,5.95,5.98,3.71
0.31,Ideal,D,VS1,62.1,56.0,704,4.3,4.36,2.69
1.0,Premium,F,SI1,62.1,59.0,5152,6.39,6.36,3.96
1.32,Ideal,G,VS1,62.4,53.0,10631,7.03,7.08,4.4
0.4,Premium,F,VS2,60.7,60.0,842,4.75,4.8,2.9
1.03,Ideal,G,VS1,62.0,54.8,6913,6.46,6.5,4.02
0.5,Very Good,E,I1,63.1,61.0,720,5.04,4.97,3.16
1.01,Very Good,F,SI2,60.8,63.0,3945,6.32,6.38,3.86
0.36,Premium,G,VS1,62.2,59.0,726,4.53,4.57,2.83
0.31,Premium,D,VS2,62.0,59.0,942,4.36,4.32,2.69
0.41,Very Good,E,SI2,62.8,57.0,683,4.7,4.73,2.96
0.31,Ideal,F,VVS1,62.0,54.0,840,4.37,4.41,2.72
0.74,Ideal,F,VS1,62.3,57.0,3170,5.79,5.77,3.6
0.9,Good,I,VS2,62.4,65.0,3162,6.09,6.12,3.81
1.36,Ideal,G,VVS2,61.1,57.0,11848,7.14,7.2,4.38
1.0,Very Good,F,VVS2,62.3,57.0,8772,6.34,6.41,3.97
0.3,Premium,J,VS1,62.6,58.0,394,4.27,4.32,2.69
0.75,Very Good,E,VS1,61.5,54.0,3314,5.88,5.82,3.6
0.32,Ideal,F,VS2,61.9,56.0,828,4.44,4.41,2.74
0.9,Very Good,E,SI2,61.6,58.0,3715,6.18,6.23,3.82
1.26,Ideal,G,VS1,61.6,56.0,9243,7.03,6.96,4.31
2.03,Premium,D,SI2,62.4,59.0,18286,8.04,7.98,5.0
1.12,Premium,E,I1,61.0,59.0,3942,6.7,6.74,4.1
0.34,Ideal,H,IF,61.6,55.0,844,4.51,4.55,2.78
1.01,Good,H,SI1,60.6,61.0,4242,6.35,6.39,3.86
1.51,Very Good,E,SI1,63.5,57.0,10891,7.28,7.23,4.61
2.0,Good,D,SI2,63.8,57.0,10528,7.93,7.88,5.04
0.39,Ideal,F,VVS1,62.1,55.0,1124,4.69,4.71,2.92
0.52,Very Good,G,SI1,60.6,61.0,1161,5.17,5.19,3.14
0.7,Good,F,VS2,63.5,56.0,2212,5.64,5.45,3.52
1.0,Premium,E,SI2,59.9,55.0,3612,6.48,6.4,3.86
0.71,Ideal,F,SI1,59.8,53.0,2838,5.86,5.82,3.49
0.32,Ideal,G,VS2,59.8,57.0,561,4.43,4.46,2.66
1.0,Premium,G,VS2,61.6,54.0,6216,6.49,6.46,3.99
2.13,Premium,G,SI2,60.7,60.0,16778,8.27,8.37,5.05
0.3,Very Good,H,SI1,62.6,58.0,421,4.22,4.28,2.66
0.9,Very Good,D,SI1,63.2,62.0,3997,6.13,6.06,3.85
0.94,Premium,G,SI2,63.0,59.0,3099,6.16,6.1,3.86
0.71,Ideal,G,SI1,61.3,55.0,3007,5.73,5.79,3.53
0.36,Premium,F,VS2,61.4,58.0,932,4.6,4.56,2.81
0.23,Ideal,G,SI1,61.2,56.0,375,3.97,4.0,2.44
0.39,Premium,D,VS2,61.3,58.0,958,4.7,4.73,2.89
0.52,Premium,G,VVS2,61.1,59.0,2012,5.2,5.15,3.16
0.4,Premium,F,VS2,61.0,58.0,842,4.72,4.79,2.9
0.4,Ideal,D,VS2,61.3,56.0,1050,4.79,4.74,2.92
1.0,Premium,F,SI1,61.6,60.0,5292,6.41,6.31,3.9
1.23,Ideal,J,VS2,61.7,57.0,5763,6.87,6.8,4.22
1.01,Very Good,F,VS2,63.1,56.0,6267,6.41,6.37,4.03
0.95,Very Good,G,VS1,59.9,58.0,5572,6.37,6.41,3.83
1.24,Ideal,H,VVS2,62.0,56.0,8069,6.92,6.86,4.27
1.05,Ideal,D,SI2,61.9,56.0,5110,6.5,6.53,4.03
0.53,Premium,E,VVS1,60.8,59.0,2514,5.23,5.17,3.16
0.31,Very Good,H,VVS1,61.9,57.0,651,4.33,4.36,2.69
0.54,Ideal,D,VS2,61.1,57.0,1993,5.25,5.22,3.2
1.79,Very Good,F,VS2,62.8,59.0,18429,7.7,7.8,4.87
0.54,Very Good,F,VS2,63.0,56.8,1745,5.18,5.22,3.28
0.54,Ideal,E,VS2,61.9,55.0,1754,5.2,5.24,3.23
0.53,Ideal,G,VVS2,60.4,56.0,2051,5.29,5.24,3.18
0.3,Premium,E,SI1,61.7,56.0,675,4.29,4.27,2.64
0.38,Very Good,F,VVS1,61.6,58.0,1200,4.61,4.65,2.85
0.7,Good,E,VS2,60.3,60.0,3115,5.69,5.75,3.45
0.59,Good,F,VS2,64.9,57.0,1643,5.2,5.25,3.39
0.27,Ideal,E,VVS2,63.0,56.0,799,4.14,4.12,2.6
0.7,Ideal,G,VS1,60.6,57.0,3384,5.73,5.79,3.5
0.51,Premium,G,SI1,61.4,58.0,1071,5.17,5.14,3.16
0.7,Very Good,H,SI2,60.7,57.0,2058,5.72,5.75,3.48
0.72,Fair,G,I1,65.1,57.0,1147,5.65,5.55,3.65
0.73,Very Good,I,SI2,63.0,58.0,2093,5.71,5.75,3.61
1.52,Good,F,SI2,58.2,60.0,9028,7.52,7.63,4.41
1.15,Premium,H,SI2,62.9,56.0,4959,6.7,6.59,4.18
0.81,Ideal,E,SI2,62.0,55.0,2559,6.0,5.96,3.71
0.51,Very Good,E,VS2,63.5,57.0,1638,5.09,5.05,3.22
0.43,Ideal,D,VS2,61.3,55.0,1314,4.84,4.88,2.98
0.7,Premium,F,SI1,59.5,57.0,2596,5.81,5.79,3.45
0.34,Premium,G,VS2,61.6,58.0,596,4.45,4.51,2.76
0.74,Ideal,E,SI1,62.6,56.0,2489,5.74,5.7,3.58
0.52,Ideal,E,VS2,62.2,56.0,1689,5.11,5.15,3.19
0.53,Ideal,E,VS2,60.9,59.0,1607,5.17,5.21,3.16
0.9,Premium,F,VS2,61.9,55.0,4536,6.25,6.23,3.86
1.51,Premium,H,VS1,62.4,60.0,10743,7.27,7.34,4.56
0.53,Ideal,E,SI1,61.2,54.0,1303,5.21,5.25,3.2
0.52,Very Good,E,SI2,62.4,59.0,1175,5.13,5.16,3.21
